code,name,category,storage,stock_unit,pack_name,qty_in_stock_unit,par_level,reorder_point,shelf_life_days,is_critical
DRY-001,Rice - samba,Dry goods,dry,g,25 kg sack,25000,50000,20000,180,FALSE
DRY-002,Rice - basmati,Dry goods,dry,g,5 kg pack,5000,15000,5000,365,FALSE
DRY-003,Wheat flour,Dry goods,dry,g,25 kg sack,25000,75000,25000,120,TRUE
DRY-004,Bread flour,Dry goods,dry,g,25 kg sack,25000,50000,25000,120,TRUE
DRY-005,Caster sugar,Dry goods,dry,g,50 kg sack,50000,50000,20000,365,TRUE
DRY-006,Icing sugar,Dry goods,dry,g,1 kg pack,1000,8000,3000,180,FALSE
DRY-007,Salt,Dry goods,dry,g,1 kg pack,1000,10000,4000,730,FALSE
DRY-008,Spaghetti,Dry goods,dry,g,500 g pack,500,10000,4000,365,FALSE
DRY-009,Penne,Dry goods,dry,g,500 g pack,500,8000,3000,365,FALSE
DRY-010,Red lentils,Dry goods,dry,g,1 kg pack,1000,10000,4000,270,FALSE
DRY-011,Chickpeas,Dry goods,dry,g,1 kg pack,1000,5000,2000,270,FALSE
DRY-012,Breadcrumbs,Dry goods,dry,g,1 kg pack,1000,4000,1500,120,FALSE
DRY-013,Cocoa powder,Dry goods,dry,g,1 kg pack,1000,4000,1500,365,TRUE
DRY-014,Dark chocolate couverture,Dry goods,dry,g,2.5 kg box,2500,7500,2500,365,TRUE
DRY-015,Instant yeast,Dry goods,dry,g,500 g pack,500,2000,750,365,FALSE
DRY-016,Baking powder,Dry goods,dry,g,1 kg pack,1000,2000,800,365,FALSE
DRY-017,Curry powder - roasted,Dry goods,dry,g,1 kg pack,1000,3000,1000,180,FALSE
DRY-018,Chilli powder,Dry goods,dry,g,1 kg pack,1000,4000,1500,180,FALSE
DRY-019,Turmeric powder,Dry goods,dry,g,1 kg pack,1000,2000,800,180,FALSE
DRY-020,Black pepper - ground,Dry goods,dry,g,500 g pack,500,2000,750,180,FALSE
DRY-021,Coconut oil,Dry goods,dry,ml,5 L can,5000,20000,8000,180,TRUE
DRY-022,Sunflower oil,Dry goods,dry,ml,20 L can,20000,40000,20000,180,TRUE
DRY-023,Olive oil,Dry goods,dry,ml,5 L can,5000,10000,5000,365,FALSE
DRY-024,Tomato paste,Dry goods,dry,g,3 kg tin,3000,9000,3000,540,FALSE
DRY-025,Soy sauce,Dry goods,dry,ml,5 L can,5000,10000,5000,540,FALSE
DRY-026,Vinegar,Dry goods,dry,ml,5 L can,5000,10000,5000,540,FALSE
DRY-027,Coffee beans - espresso blend,Dry goods,dry,g,1 kg bag,1000,12000,5000,180,TRUE
